Date,Counter Party,Reference,Type,Amount (RON),Balance (RON),Spending Category,Notes
01/06/2026,Sample Payroll Ltd,PAYROLL JUNE,Transfer,3200.00,8200.00,INCOME,Monthly salary
02/06/2026,City Market SRL,CITY MARKET 1201,Contactless,-86.35,8113.65,GROCERIES,
03/06/2026,Metro Transit,MONTHLY PASS,Card Payment,-52.00,8061.65,TRANSPORT,
04/06/2026,StreamBox,STREAMBOX SUBSCRIPTION,Card Subscription,-14.99,8046.66,ENTERTAINMENT,Streaming service
05/06/2026,Utility Plus,UTILITY PLUS BILL,Online Payment,-145.20,7901.46,BILLS_AND_SERVICES,
06/06/2026,Friend Transfer,TRANSFER FROM FRIEND,INTRABANK PAYMENT,75.00,7976.46,GENERAL,Refund
07/06/2026,Bistro Corner,BISTRO CORNER,Contactless,-38.70,7937.76,EATING_OUT,
08/06/2026,ATM Withdrawal,ATM CASH WITHDRAWAL,Card Payment,-200.00,7737.76,GENERAL,Cash for weekend
09/06/2026,Book Nook,BOOK NOOK,Online Payment,-27.40,7710.36,GENERAL,Books
10/06/2026,Demo TopUp,ACCOUNT TOPUP Q1,TRANSFOND SENT INSTANT,1000.00,8710.36,INCOME,
11/06/2026,Green Grocer,GREEN GROCER,Contactless,-54.18,8656.18,GROCERIES,
12/06/2026,Movie Time,MOVIE TIME,Card Payment,-42.00,8614.18,ENTERTAINMENT,Two tickets
13/06/2026,Gas Station,FAST FUEL,Contactless,-170.25,8443.93,TRANSPORT,
14/06/2026,Cafe Aroma,CAFE AROMA,Contactless,-19.60,8424.33,EATING_OUT,
15/06/2026,Sample Transfer,MONTHLY SAVINGS,Currency Transfer,-500.00,7924.33,TRANSFERS,To savings
